drink,price,hour,arrival_no
fanta_grape,1.1,0,0
sprite,1.2,0,1
sprite,1.2,0,2
mountain_dew,1.4,1,0
coke,1.3,1,1
coke,1.3,1,2
mountain_dew,1.4,1,3
pepsi,1.1,3,0
sprite,1.2,3,1
sprite,1.2,4,0
pepsi,1.1,4,1
ice_lemon_tea,1.4,4,2
fanta_grape,1.1,4,3
fanta_grape,1.1,4,4
mountain_dew,1.4,4,5
ice_lemon_tea,1.4,5,0
pepsi,1.1,5,1
coke,1.3,6,0
pepsi,1.1,7,0
fanta_grape,1.1,7,1
mountain_dew,1.4,8,0
ice_lemon_tea,1.4,9,0
ice_lemon_tea,1.4,9,1
fanta_orange,1.1,9,2
sprite,1.2,9,3
mountain_dew,1.4,9,4
sprite,1.2,11,0
mountain_dew,1.4,11,1
sprite,1.2,11,2
sprite,1.2,11,3
sprite,1.2,11,4
fanta_orange,1.1,12,0
pepsi,1.1,12,1
sprite,1.2,13,0
mountain_dew,1.4,13,1
ice_lemon_tea,1.4,14,0
mountain_dew,1.4,16,0
pepsi,1.1,16,1
coke,1.3,17,0
fanta_orange,1.1,17,1
mountain_dew,1.4,17,2
mountain_dew,1.4,17,3
fanta_grape,1.1,18,0
coke,1.3,19,0
fanta_orange,1.1,19,1
mountain_dew,1.4,19,2
ice_lemon_tea,1.4,19,3
fanta_orange,1.1,19,4
sprite,1.2,19,5
fanta_orange,1.1,19,6
sprite,1.2,20,0
coke,1.3,20,1
sprite,1.2,20,2
fanta_orange,1.1,20,3
pepsi,1.1,20,4
pepsi,1.1,21,0
fanta_orange,1.1,22,0
coke,1.3,22,1
fanta_grape,1.1,22,2
ice_lemon_tea,1.4,23,0
pepsi,1.1,23,1
